intent_probability,intent_level,action,message,cost_eur,top_reasons,true_label,true_numeric
0.6437,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +1.319)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.790)"", ""'Weekend_True' decreased the purchase chance (SHAP = -0.313)""]",BUYER,1
0.0041,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.702)"", ""'Month_May' decreased the purchase chance (SHAP = -2.258)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.228)""]",BROWSER,0
0.8808,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +1.112)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.810)"", ""'Administrative_Duration' decreased the purchase chance (SHAP = -0.277)""]",BROWSER,0
0.0018,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.580)"", ""'Month_May' decreased the purchase chance (SHAP = -1.951)"", ""'ExitRates' decreased the purchase chance (SHAP = -1.119)""]",BROWSER,0
0.1263,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.661)"", ""'Month_Oct' decreased the purchase chance (SHAP = -0.294)"", ""'Month_May' increased the purchase chance (SHAP = +0.289)""]",BROWSER,0
0.0993,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.855)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.253)"", ""'Month_May' increased the purchase chance (SHAP = +0.250)""]",BROWSER,0
0.0552,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.841)"", ""'ProductRelated' decreased the purchase chance (SHAP = -0.434)"", ""'TrafficType_3' decreased the purchase chance (SHAP = -0.384)""]",BROWSER,0
0.9479,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +1.967)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.627)"", ""'BounceRates' decreased the purchase chance (SHAP = -0.185)""]",BUYER,1
0.9681,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +2.322)"", ""'Administrative_Duration' decreased the purchase chance (SHAP = -0.298)"", ""'VisitorType_Returning_Visitor' increased the purchase chance (SHAP = +0.250)""]",BUYER,1
0.2787,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.746)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.563)"", ""'Month_May' increased the purchase chance (SHAP = +0.197)""]",BROWSER,0
0.0871,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.388)"", ""'BounceRates' decreased the purchase chance (SHAP = -0.382)"", ""'Month_Dec' decreased the purchase chance (SHAP = -0.313)""]",BROWSER,0
0.004,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'Month_May' decreased the purchase chance (SHAP = -2.280)"", ""'PageValues' decreased the purchase chance (SHAP = -2.243)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.285)""]",BROWSER,0
0.7185,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' decreased the purchase chance (SHAP = -1.176)"", ""'TrafficType_8' increased the purchase chance (SHAP = +0.767)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.549)""]",BROWSER,0
0.006,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.540)"", ""'Month_Mar' decreased the purchase chance (SHAP = -2.208)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.333)""]",BROWSER,0
0.0078,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.384)"", ""'Month_Mar' decreased the purchase chance (SHAP = -1.955)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.343)""]",BROWSER,0
0.0031,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.613)"", ""'Month_May' decreased the purchase chance (SHAP = -2.034)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.535)""]",BROWSER,0
0.4476,MEDIUM,10% Personalised Discount Coupon,Send a discount code to the user's registered email.,5.0,"[""'PageValues' decreased the purchase chance (SHAP = -1.402)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.579)"", ""'TrafficType_8' increased the purchase chance (SHAP = +0.334)""]",BROWSER,0
0.0047,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.498)"", ""'Month_May' decreased the purchase chance (SHAP = -2.251)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.330)""]",BROWSER,0
0.5081,MEDIUM,10% Personalised Discount Coupon,Send a discount code to the user's registered email.,5.0,"[""'PageValues' increased the purchase chance (SHAP = +1.912)"", ""'Month_May' decreased the purchase chance (SHAP = -0.952)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.330)""]",BROWSER,0
0.5836,MEDIUM,10% Personalised Discount Coupon,Send a discount code to the user's registered email.,5.0,"[""'PageValues' decreased the purchase chance (SHAP = -1.220)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.773)"", ""'ProductRelated' increased the purchase chance (SHAP = +0.390)""]",BROWSER,0
0.9063,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +2.014)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.292)"", ""'TrafficType_4' decreased the purchase chance (SHAP = -0.142)""]",BROWSER,0
0.1056,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.141)"", ""'ProductRelated' decreased the purchase chance (SHAP = -0.535)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.471)""]",BROWSER,0
0.9662,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +3.710)"", ""'Month_May' decreased the purchase chance (SHAP = -0.854)"", ""'Administrative_Duration' decreased the purchase chance (SHAP = -0.333)""]",BUYER,1
0.8869,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +1.305)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.547)"", ""'Region_4' decreased the purchase chance (SHAP = -0.435)""]",BROWSER,0
0.0735,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.051)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.448)"", ""'ProductRelated' decreased the purchase chance (SHAP = -0.365)""]",BROWSER,0
0.9116,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +2.223)"", ""'BounceRates' increased the purchase chance (SHAP = +0.372)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.296)""]",BUYER,1
0.9322,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +2.235)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.483)"", ""'Informational_Duration' increased the purchase chance (SHAP = +0.436)""]",BROWSER,0
0.0012,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.537)"", ""'Month_May' decreased the purchase chance (SHAP = -1.979)"", ""'ExitRates' decreased the purchase chance (SHAP = -1.408)""]",BROWSER,0
0.0362,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'ExitRates' decreased the purchase chance (SHAP = -1.871)"", ""'PageValues' decreased the purchase chance (SHAP = -1.714)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.394)""]",BROWSER,0
0.1132,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.401)"", ""'ProductRelated' decreased the purchase chance (SHAP = -0.512)"", ""'Administrative_Duration' decreased the purchase chance (SHAP = -0.362)""]",BUYER,1
0.1367,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.126)"", ""'VisitorType_Returning_Visitor' increased the purchase chance (SHAP = +0.267)"", ""'Month_May' increased the purchase chance (SHAP = +0.243)""]",BROWSER,0
0.0121,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.449)"", ""'Month_Mar' decreased the purchase chance (SHAP = -1.943)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.356)""]",BROWSER,0
0.0636,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.775)"", ""'ExitRates' decreased the purchase chance (SHAP = -1.086)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.543)""]",BROWSER,0
0.9706,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +3.118)"", ""'BounceRates' increased the purchase chance (SHAP = +0.467)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.214)""]",BUYER,1
0.0029,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.477)"", ""'Month_Mar' decreased the purchase chance (SHAP = -1.887)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.785)""]",BROWSER,0
0.0092,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'Month_May' decreased the purchase chance (SHAP = -2.573)"", ""'PageValues' decreased the purchase chance (SHAP = -2.041)"", ""'Informational_Duration' increased the purchase chance (SHAP = +0.450)""]",BROWSER,0
0.0032,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'Month_May' decreased the purchase chance (SHAP = -2.450)"", ""'PageValues' decreased the purchase chance (SHAP = -2.289)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.521)""]",BROWSER,0
0.1246,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.644)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.383)"", ""'Month_May' increased the purchase chance (SHAP = +0.260)""]",BROWSER,0
0.1712,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.455)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.377)"", ""'Month_May' increased the purchase chance (SHAP = +0.327)""]",BROWSER,0
0.7437,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +1.155)"", ""'BounceRates' decreased the purchase chance (SHAP = -0.583)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.582)""]",BROWSER,0
0.0093,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.208)"", ""'Month_Mar' decreased the purchase chance (SHAP = -1.599)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.306)""]",BROWSER,0
0.2882,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.358)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.452)"", ""'Month_May' increased the purchase chance (SHAP = +0.220)""]",BROWSER,0
0.9136,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +1.312)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.642)"", ""'TrafficType_10' increased the purchase chance (SHAP = +0.193)""]",BUYER,1
0.7228,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +2.477)"", ""'Month_Mar' decreased the purchase chance (SHAP = -0.766)"", ""'BounceRates' decreased the purchase chance (SHAP = -0.339)""]",BUYER,1
0.0024,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.794)"", ""'Month_May' decreased the purchase chance (SHAP = -2.403)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.325)""]",BROWSER,0
0.7093,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +1.749)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.364)"", ""'Administrative' decreased the purchase chance (SHAP = -0.254)""]",BUYER,1
0.0803,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.828)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.297)"", ""'Month_Oct' decreased the purchase chance (SHAP = -0.261)""]",BROWSER,0
0.8352,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +1.846)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.436)"", ""'Administrative' decreased the purchase chance (SHAP = -0.416)""]",BROWSER,0
0.935,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +2.492)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.331)"", ""'BounceRates' decreased the purchase chance (SHAP = -0.145)""]",BROWSER,0
0.0012,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'Month_May' decreased the purchase chance (SHAP = -2.351)"", ""'PageValues' decreased the purchase chance (SHAP = -2.190)"", ""'Browser_6' decreased the purchase chance (SHAP = -0.563)""]",BROWSER,0
0.0013,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.502)"", ""'Month_May' decreased the purchase chance (SHAP = -1.949)"", ""'ExitRates' decreased the purchase chance (SHAP = -1.458)""]",BROWSER,0
0.4955,MEDIUM,10% Personalised Discount Coupon,Send a discount code to the user's registered email.,5.0,"[""'PageValues' increased the purchase chance (SHAP = +1.988)"", ""'BounceRates' decreased the purchase chance (SHAP = -0.553)"", ""'Month_Sep' decreased the purchase chance (SHAP = -0.380)""]",BROWSER,0
0.1008,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.228)"", ""'BounceRates' decreased the purchase chance (SHAP = -0.413)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.406)""]",BROWSER,0
0.278,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.140)"", ""'Month_May' increased the purchase chance (SHAP = +0.294)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.293)""]",BROWSER,0
0.0588,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.329)"", ""'TrafficType_3' decreased the purchase chance (SHAP = -0.264)"", ""'Month_May' increased the purchase chance (SHAP = +0.226)""]",BROWSER,0
0.1294,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.701)"", ""'Month_May' increased the purchase chance (SHAP = +0.297)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.295)""]",BROWSER,0
0.0083,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.596)"", ""'Month_Mar' decreased the purchase chance (SHAP = -2.124)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.229)""]",BROWSER,0
0.2177,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.535)"", ""'Month_May' increased the purchase chance (SHAP = +0.323)"", ""'Month_Oct' decreased the purchase chance (SHAP = -0.252)""]",BROWSER,0
0.1836,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.510)"", ""'Month_May' increased the purchase chance (SHAP = +0.298)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.258)""]",BROWSER,0
0.0294,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'ExitRates' decreased the purchase chance (SHAP = -1.631)"", ""'PageValues' decreased the purchase chance (SHAP = -1.618)"", ""'Administrative_Duration' decreased the purchase chance (SHAP = -0.594)""]",BROWSER,0
0.0074,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.390)"", ""'Month_Mar' decreased the purchase chance (SHAP = -1.969)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.292)""]",BROWSER,0
0.2228,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' increased the purchase chance (SHAP = +1.930)"", ""'Month_May' decreased the purchase chance (SHAP = -1.141)"", ""'Browser_7' decreased the purchase chance (SHAP = -0.773)""]",BUYER,1
0.1817,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.383)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.403)"", ""'Month_May' increased the purchase chance (SHAP = +0.307)""]",BROWSER,0
